Date,Open,High,Low,Close,Adj Close,Volume
2017-11-02,180.630005,181.940002,177.339996,178.919998,178.919998,35529900
2017-11-03,179.289993,179.860001,176.710007,178.919998,178.919998,17822100
2017-11-06,178.559998,180.449997,178.309998,180.169998,180.169998,13312700
2017-11-07,180.500000,180.750000,178.960007,180.250000,180.250000,12928200
2017-11-08,179.789993,180.350006,179.110001,179.559998,179.559998,10494100
2017-11-09,178.309998,179.399994,177.089996,179.300003,179.300003,12610300
2017-11-10,178.350006,179.100006,177.960007,178.460007,178.460007,11070200
2017-11-13,177.500000,179.039993,177.300003,178.770004,178.770004,9523400
2017-11-14,178.130005,178.970001,177.179993,178.070007,178.070007,9585900
2017-11-15,176.660004,178.570007,176.399994,177.949997,177.949997,10253700
2017-11-16,178.759995,179.830002,178.500000,179.589996,179.589996,15607600
2017-11-17,179.300003,179.979996,178.899994,179.000000,179.000000,13018000
2017-11-20,178.869995,179.500000,178.100006,178.740005,178.740005,10052400
2017-11-21,179.149994,181.889999,178.990005,181.860001,181.860001,14504000
2017-11-22,181.300003,181.729996,180.440002,180.869995,180.869995,10376300
2017-11-24,180.399994,183.149994,180.289993,182.779999,182.779999,9426300
2017-11-27,182.559998,183.729996,181.990005,183.029999,183.029999,12344500
2017-11-28,183.509995,184.250000,182.089996,182.419998,182.419998,14379700
2017-11-29,181.889999,181.970001,174.000000,175.130005,175.130005,41933500
2017-11-30,176.850006,178.279999,175.199997,177.179993,177.179993,25307600
2017-12-01,176.029999,177.479996,172.339996,175.100006,175.100006,19920800
